"Startdato,Starttid,Slutdato,Sluttid,Bygning,Forbrug for tller 1,Enhed for tller 1,Forbrug for tller 2,Enhed for tller 2",,
"19-10-2023,12:00:00,19-10-2023,13:00:00,Rdhus,0","04,MWh,0","6,m3"
"19-10-2023,13:00:00,19-10-2023,14:00:00,Rdhus,0","03,MWh,0","7,m3"
"19-10-2023,14:00:00,19-10-2023,15:00:00,Rdhus,0","02,MWh,0","5,m3"
"19-10-2023,15:00:00,19-10-2023,16:00:00,Rdhus,0","04,MWh,0","6,m3"
"19-10-2023,16:00:00,19-10-2023,17:00:00,Rdhus,0","03,MWh,0","6,m3"
"19-10-2023,17:00:00,19-10-2023,18:00:00,Rdhus,0","03,MWh,0","7,m3"
"19-10-2023,18:00:00,19-10-2023,19:00:00,Rdhus,0","02,MWh,0","5,m3"
"19-10-2023,19:00:00,19-10-2023,20:00:00,Rdhus,0","02,MWh,0","4,m3"
"19-10-2023,20:00:00,19-10-2023,21:00:00,Rdhus,0","02,MWh,0","4,m3"
"19-10-2023,21:00:00,19-10-2023,22:00:00,Rdhus,0","01,MWh,0","3,m3"
"19-10-2023,22:00:00,19-10-2023,23:00:00,Rdhus,0","02,MWh,0","4,m3"
"19-10-2023,23:00:00,20-10-2023,00:00:00,Rdhus,0","01,MWh,0","3,m3"
"20-10-2023,00:00:00,20-10-2023,01:00:00,Rdhus,0","02,MWh,0","4,m3"
"20-10-2023,01:00:00,20-10-2023,02:00:00,Rdhus,0","01,MWh,0","3,m3"
"20-10-2023,02:00:00,20-10-2023,03:00:00,Rdhus,0","02,MWh,0","5,m3"
"20-10-2023,03:00:00,20-10-2023,04:00:00,Rdhus,0","02,MWh,0","3,m3"
"20-10-2023,04:00:00,20-10-2023,05:00:00,Rdhus,0","02,MWh,0","4,m3"
"20-10-2023,05:00:00,20-10-2023,06:00:00,Rdhus,0","01,MWh,0","4,m3"
"20-10-2023,06:00:00,20-10-2023,07:00:00,Rdhus,0","04,MWh,0","8,m3"
"20-10-2023,07:00:00,20-10-2023,08:00:00,Rdhus,0","04,MWh,0","7,m3"
"20-10-2023,08:00:00,20-10-2023,09:00:00,Rdhus,0","04,MWh,0","8,m3"
"20-10-2023,09:00:00,20-10-2023,10:00:00,Rdhus,0","03,MWh,0","6,m3"
"20-10-2023,10:00:00,20-10-2023,11:00:00,Rdhus,0","05,MWh,0","9,m3"
"20-10-2023,11:00:00,20-10-2023,12:00:00,Rdhus,0","04,MWh,0","6,m3"
"20-10-2023,12:00:00,20-10-2023,13:00:00,Rdhus,0","03,MWh,0","7,m3"
"20-10-2023,13:00:00,20-10-2023,14:00:00,Rdhus,0","04,MWh,0","8,m3"
"20-10-2023,14:00:00,20-10-2023,15:00:00,Rdhus,0","03,MWh,0","6,m3"
"20-10-2023,15:00:00,20-10-2023,16:00:00,Rdhus,0","04,MWh,0","8,m3"
"20-10-2023,16:00:00,20-10-2023,17:00:00,Rdhus,0","04,MWh,0","8,m3"
"20-10-2023,17:00:00,20-10-2023,18:00:00,Rdhus,0","04,MWh,0","8,m3"
"20-10-2023,18:00:00,20-10-2023,19:00:00,Rdhus,0","02,MWh,0","5,m3"
"20-10-2023,19:00:00,20-10-2023,20:00:00,Rdhus,0","01,MWh,0","3,m3"
